Total_Beds,Beds_A,Beds_B,Beds_C,Avg_Relocated_Total,Avg_Prob_Full_A,Avg_Prob_Full_B,Avg_Prob_Full_C,Avg_Util_A,Avg_Util_B,Avg_Util_C
125,87,5,33,1124.3333333333333,0.05635618735571616,0.6825214876071506,0.46378426299703523,0.668241221854826,0.8748858447488584,0.9834509478345095
125,87,6,32,1187.0,0.05761893915996367,0.6539600404848631,0.4815696366754703,0.6677583582637904,0.8640791476407914,0.9841324200913242
125,87,7,31,1213.0,0.05240646788113276,0.5972129314929656,0.5049449711146106,0.6664672230094998,0.8615786040443574,0.9855354249521285
125,87,8,30,1188.6666666666667,0.04699611052811322,0.5503026037246835,0.5056652368330149,0.658751902587519,0.8560502283105023,0.9840182648401826
125,87,9,29,1255.6666666666667,0.052335764568740784,0.5271362347633534,0.5270723125416592,0.6614391434419776,0.8336884830035515,0.9847583057786174
125,87,10,28,1292.3333333333333,0.04637756591350498,0.472296878959172,0.5505639292920009,0.6467223009499815,0.8057534246575342,0.9868558382257012
125,87,11,27,1335.6666666666667,0.04442450220708479,0.4477868059957612,0.5656143587972934,0.6565160342203328,0.8166874221668742,0.9885675629967867
125,87,12,26,1353.3333333333333,0.04264818514517299,0.34458216082062704,0.5768598691834045,0.6441190363722248,0.7859969558599696,0.9895328415876362
125,87,13,25,1358.6666666666667,0.029329810639640543,0.31696518046340333,0.5952164371628247,0.6328977063979426,0.7626273270108888,0.9886027397260274
125,87,14,24,1396.6666666666667,0.025319397681463403,0.3029814126101829,0.6112823686264313,0.6300845011284312,0.7619699934768428,0.9900304414003044
125,87,15,23,1403.0,0.018031514440417257,0.2588779208758176,0.6288306494740622,0.6199968508896236,0.7312633181126332,0.9908675799086758
125,87,16,22,1424.3333333333333,0.016066439086173983,0.1894340207073666,0.6408041573116937,0.6222537133259854,0.6995433789954338,0.9914902449149023
125,87,17,21,1449.6666666666667,0.019444460453844615,0.19819178286444383,0.6517942412974224,0.6177399884532621,0.6801504163309159,0.9918243096325288
125,87,18,20,1428.0,0.018735364721669884,0.1763051990484951,0.6559963477821096,0.6223796777410381,0.7163368848300354,0.9921004566210047
125,87,19,19,1522.6666666666667,0.0157661965870017,0.1551867814621351,0.6913860099267907,0.6200808271663255,0.6922374429223744,0.9928863254025474
125,87,20,18,1554.3333333333333,0.011973079216850193,0.10955081347281524,0.7084086146029209,0.5979215871516296,0.6772602739726027,0.9928970065956366
125,87,21,17,1599.3333333333333,0.010489596436474347,0.09494655193853403,0.7295536294238468,0.5973337532147168,0.6594477060230485,0.9942519473542842
125,87,22,16,1626.0,0.010480838681633348,0.05510058445781241,0.7377163798682846,0.6010706975279484,0.6032378580323786,0.9944634703196348
125,87,23,15,1692.3333333333333,0.007580924536442842,0.08055347205149914,0.7652806658826888,0.6088175090536924,0.6110780226325194,0.9956164383561644
125,87,24,14,1681.6666666666667,0.013360296853111181,0.055747779069360716,0.765879159333113,0.5977116464598752,0.5991248097412482,0.9956294846705805
125,87,25,13,1707.3333333333333,0.009044745773265674,0.049808555791519375,0.7837368341147971,0.6005458457985619,0.5849132420091324,0.9955040393396558
125,87,26,12,1771.3333333333333,0.008984076000127834,0.029319038289137955,0.8134814805692557,0.599338686820973,0.5591148577449948,0.9965753424657534
125,87,27,11,1823.6666666666667,0.0038655961938745165,0.008413628233948004,0.8274256291309624,0.5912664672230096,0.5228479621173685,0.9965960979659609
125,87,28,10,1795.3333333333333,0.008072992199925891,0.009668035171390877,0.8326067146450858,0.5919277804020364,0.5244618395303328,0.9975342465753424
125,87,29,9,1829.3333333333333,0.0073850989806589,0.013439095550692925,0.8464722997091987,0.5931874245525638,0.5189418989135569,0.9967529173008626
125,87,30,8,1879.3333333333333,0.00979305384543789,0.005102832276026485,0.8694029941428768,0.5923371647509579,0.4930289193302892,0.9980593607305938
125,87,31,7,1928.6666666666667,0.00895478537366457,0.0030165912518853697,0.8802276774298788,0.5886002204377263,0.4643099130947121,0.9984344422700587
125,87,32,6,1935.0,0.004314707899003918,0.0015255530129672007,0.9040331551777845,0.5960636120296017,0.4701198630136987,0.9978691019786909
125,87,33,5,2013.0,0.006462392540491013,0.0,0.9186380933487893,0.5929354957224584,0.4185692541856925,0.9985388127853881
125,87,34,4,2027.6666666666667,0.004082822980460776,0.0014652014652014652,0.932973857935266,0.5881278538812785,0.433682514101531,0.9993150684931508
125,87,35,3,2125.3333333333335,0.006103894371131495,0.0,0.9569303202311822,0.5857765181336273,0.41766470971950426,0.9993911719939117
125,87,36,2,2133.3333333333335,0.0036405999708752006,0.0,0.9641574156472331,0.5819451005091061,0.40722983257229833,1.0
125,87,37,1,2195.3333333333335,0.0056620993653443375,0.0,0.9819792645766493,0.5833412061092741,0.3811427866222387,0.9990867579908675
125,88,1,36,1149.3333333333333,0.0878281787755298,0.940217557298212,0.4334199264589489,0.7062889165628893,0.9242009132420091,0.9783612379502791
125,88,2,35,1090.0,0.06482244018946072,0.8857885370025658,0.43840981425786546,0.6981008717310088,0.9237442922374429,0.9798825831702543
125,88,3,34,1113.3333333333333,0.07020807388549932,0.827560573180555,0.4432225663560603,0.6724263179742631,0.887062404870624,0.9824066612946548
